A  	;Area
AC	;Acesso
ACA	;Acampamento
ACL	;Acesso Local
AD	;Adro
AE	;Area Especial
AER	;Aeroporto
AL	;Alameda
AMD	;Avenida Marginal Direita
AME	;Avenida Marginal Esquerda
AN	;Anel Viario
ANT	;Antiga Estrada
ART	;Arteria
AT	;Alto
ATL	;Atalho
AV	;Area Verde
AV	;Avenida
AVC	;Avenida Contorno
AVM	;Avenida Marginal
AVV	;Avenida Velha
BAL	;Balneário
BC	;Beco
BCO	;Buraco
BEL	;Belvedere
BL	;Bloco
BLO	;Balao
BLS	;Blocos
BLV	;Bulevar
BSQ	;Bosque
BVD	;Boulevard
BX	;Baixa
C	;Cais
CAL	;Calcada
CAM	;Caminho
CAN	;Canal
CH	;Chacara
CHA	;Chapadao
CIC	;Ciclovia
CIR	;Circular
CJ	;Conjunto
CJM	;Conjunto Mutirao
CMP	;Complexo Viario
COL	;Colonia
COM	;Comunidade
CON	;Condominio
COR	;Corredor
CPO	;Campo
CRG	;Corrego
CTN	;Contorno
DSC	;Descida
DSV	;Desvio
DT	;Distrito
EB	;Entre Bloco
EIM	;Estrada Intermunicipal
ENS	;Enseada
ENT	;Entrada Particular
EQ	;Entre Quadra
ESC	;Escada
ESD	;Escadaria
ESE	;Estrada Estadual
ESI	;Estrada Vicinal
ESL	;Estrada de Ligacao
ESM	;Estrada Municipal
ESP	;Esplanada
ESS	;Estrada de Servidao
EST	;Estrada
ESV	;Estrada Velha
ETA	;Estrada Antiga
ETC	;Estacao
ETD	;Estadio
ETN	;Estancia
ETP	;Estrada Particular
ETT	;Estacionamento
EVA	;Evangelica
EVD	;Elevada
EX	;Eixo Industrial
FAV	;Favela
FAZ	;Fazenda
FER	;Ferrovia
FNT	;Fonte
FRA	;Feira
FTE	;Forte
GAL	;Galeria
GJA	;Granja
HAB	;Nucleo Habitacional
IA	;Ilha
IND	;Indeterminado
IOA	;Ilhota
JD	;Jardim
JDE	;Jardinete
LD	;Ladeira
LGA	;Lagoa
LGO	;Lago
LOT	;Loteamento
LRG	;Largo
LT	;Lote
MER	;Mercado
MNA	;Marina
MOD	;Modulo
MRG	;Projecao
MRO	;Morro
MTE	;Monte
NUC	;Nucleo
NUR	;Nucleo Rural
OUT	;Outeiro
PAR	;Paralela
PAS	;Passeio
PAT	;Patio
PC	;Praça
PCE	;Praca de Esportes
PDA	;Parada
PDO	;Paradouro
PNT	;Ponta
PR	;Praia
PRL	;Prolongamento
PRM	;Parque Municipal
PRQ	;Parque
PRR	;Parque Residencial
PSA	;Passarela
PSG	;Passagem
PSP	;Passagem de Pedestre
PSS	;Passagem Subterranea
PTE	;Ponte
PTO	;Porto
Q	;Quadra
QTA	;Quinta
QTS	;Quintas
R	;Rua
R I	;Rua Integracao
R L	;Rua de Ligacao
R P	;Rua Particular
R V	;Rua Velha
RAM	;Ramal
RCR	;Recreio
REC	;Recanto
RER	;Retiro
RES	;Residencial
RET	;Reta
RLA	;Ruela
RMP	;Rampa
ROA	;Rodo Anel
ROD	;Rodovia
ROT	;Rotula
RPE	;Rua de Pedestre
RPR	;Margem
RTN	;Retorno
RTT	;Rotatoria
SEG	;Segunda Avenida
SIT	;Sitio
SRV	;Servidao
ST	;Setor
SUB	;Subida
TCH	;Trincheira
TER	;Terminal
TR	;Trecho
TRV	;Trevo
TUN	;Tunel
TV	;Travessa
TVP	;Travessa Particular
TVV	;Travessa Velha
UNI	;Unidade
V	;Via
V C	;Via Coletora
V L	;Via Local
VAC	;Via de Acesso
VAL	;Vala
VCO	;Via Costeira
VD	;Viaduto
V-E	;Via Expressa
VER	;Vereda
VEV	;Via Elevado
VL	;Vila
VLA	;Viela
VLE	;Vale
VLT	;Via Litoranea
VPE	;Via de Pedestre
VRT	;Variante
ZIG	;Zigue-Zague
